DATETIME,ESOI,ATHN,MXCO,ROME,AATB,LMKS,DRBS,NEWK,KIEL,CALG,OULU,APTY,FSMT,INVK,NAIN,PWNK,THUL
2006-12-14 18:25:00,173.974,53.203,217.467,147.82,1339.58,426.337,,96.89,164.687,316.059,104.434,166.26,206.268,183.428,209.7,209.068,119.024
2006-12-14 18:30:00,175.286,54.447,219.433,147.97,1334.64,428.83,108.823,98.07,163.507,315.37,104.048,166.52,205.258,185.618,210.746,210.006,118.738
2006-12-14 18:35:00,172.768,53.9,218.3,147.773,1334.2,425.217,,96.6,164.15,313.885,102.81,166.4,205.45,183.598,209.662,210.47,118.166
2006-12-14 18:40:00,173.384,52.92,220.467,148.27,1325.46,422.27,,95.608,162.793,310.058,102.78,165.98,208.98,182.49,209.25,208.154,116.268
2006-12-14 18:45:00,174.524,53.047,218.733,149.36,1324.38,425.323,106.926,95.366,164.36,315.308,102.044,165.7,206.658,182.918,208.112,207.86,116.168
2006-12-14 18:50:00,172.158,54.05,216.433,148.3,1325.24,420.62,,96.978,162.65,311.516,103.262,165.92,204.182,182.77,211.518,205.31,117.7
2006-12-14 18:55:00,171.416,53.757,220.433,148.48,1333.46,421.94,,96.22,164.003,315.381,103.435,168.8,207.618,178.858,210.842,206.132,117.026
2006-12-14 19:00:00,173.4,53.073,219.233,146.743,1330.54,423.703,107.449,96.736,163.997,313.213,104.838,165.98,205.812,180.16,209.208,206.458,117.91
2006-12-14 19:05:00,173.304,54.41,215.9,147.083,1330.18,417.23,,95.976,163.847,314.303,103.098,166.14,204.26,181.94,207.0,205.624,117.382
2006-12-14 19:10:00,172.984,54.383,217.333,145.507,1332.64,422.973,,98.694,161.55,313.393,102.831,165.34,203.1,179.55,207.878,206.396,116.868
2006-12-14 19:15:00,175.488,54.877,219.8,147.22,1325.34,423.403,106.08,95.976,163.633,310.089,101.489,167.7,205.85,181.758,209.314,208.87,116.964
2006-12-14 19:20:00,173.992,53.427,218.833,147.297,1326.8,418.743,,96.02,164.867,309.518,103.073,164.8,205.656,183.636,209.732,208.302,117.306
2006-12-14 19:25:00,172.66,53.423,216.367,146.5,1331.96,418.717,,95.222,162.587,309.918,101.454,164.88,205.262,183.192,209.298,206.016,114.56
2006-12-14 19:30:00,172.278,52.55,215.6,144.677,1325.32,416.037,107.439,95.328,159.69,312.354,101.853,163.96,203.154,180.336,209.392,208.682,116.652
2006-12-14 19:35:00,171.274,52.207,217.167,146.573,1323.36,420.17,,96.922,162.614,314.618,101.983,165.7,205.934,182.69,210.276,205.442,115.544
2006-12-14 19:40:00,173.624,52.83,219.167,144.97,1326.26,418.027,,95.864,159.057,312.867,101.166,165.64,206.348,181.178,208.624,206.068,115.918
2006-12-14 19:45:00,172.364,53.77,218.133,145.427,1321.96,416.96,105.938,97.022,159.623,310.982,101.798,166.54,204.138,182.016,207.986,205.416,116.632
2006-12-14 19:50:00,174.496,54.233,215.9,145.813,1331.28,416.667,,94.048,163.173,312.402,98.897,163.66,202.238,178.326,207.602,209.538,115.718
2006-12-14 19:55:00,172.884,53.983,216.933,147.497,1328.44,416.377,,94.992,160.93,313.98,101.837,163.38,202.708,179.674,205.322,208.59,115.014
2006-12-14 20:00:00,172.92,53.35,215.833,144.177,1326.42,416.487,106.036,93.416,160.093,309.617,100.712,162.96,202.676,181.032,207.374,205.014,115.604
2006-12-14 20:05:00,172.968,53.81,216.433,145.353,1329.42,415.37,,95.91,162.406,311.283,100.588,164.26,202.616,182.268,205.352,207.0,115.434
2006-12-14 20:10:00,173.234,54.663,213.967,144.77,1328.68,420.013,,93.594,163.493,311.49,100.798,166.52,202.286,182.108,204.382,206.8,114.636
2006-12-14 20:15:00,172.13,51.937,218.0,146.437,1328.12,419.653,104.902,94.528,160.7,314.34,100.817,162.68,202.664,181.764,207.13,205.916,115.592
2006-12-14 20:20:00,172.928,53.773,216.1,144.977,1329.44,415.5,,94.106,158.623,313.604,100.757,164.96,204.266,179.164,205.616,206.146,114.128
2006-12-14 20:25:00,172.74,52.387,213.8,146.873,1329.82,415.337,,94.896,159.2,310.61,102.035,165.74,201.42,181.644,205.196,205.262,114.79
2006-12-14 20:30:00,173.286,53.417,216.0,145.71,1332.18,416.967,106.347,92.134,160.98,307.806,100.095,164.26,204.106,179.912,204.924,203.274,113.128
2006-12-14 20:35:00,171.426,54.49,217.0,145.783,1323.52,413.913,,93.946,160.443,307.409,101.545,161.92,203.564,179.862,204.422,202.16,112.856
2006-12-14 20:40:00,174.706,52.56,216.033,145.217,1327.58,417.15,,94.902,161.233,307.688,100.103,162.04,203.4,179.244,202.198,202.688,113.128
2006-12-14 20:45:00,171.616,53.66,216.2,145.773,1326.54,419.217,105.191,94.344,159.2,306.967,99.12,163.4,201.982,178.98,202.822,199.774,112.442
2006-12-14 20:50:00,171.894,53.76,215.633,146.37,1332.44,418.27,,93.61,161.273,307.914,99.997,161.8,201.07,180.468,200.878,202.75,113.326
2006-12-14 20:55:00,171.892,53.933,214.533,147.33,1319.76,415.71,,92.922,159.76,306.047,100.257,161.94,200.886,178.978,199.926,198.116,113.076
2006-12-14 21:00:00,173.488,54.463,213.3,147.207,1326.32,414.163,104.467,93.944,161.423,306.073,99.838,163.1,198.01,176.166,202.562,201.146,113.03
2006-12-14 21:05:00,171.476,53.797,214.933,147.387,1331.2,417.92,,92.984,162.99,306.931,101.235,165.08,198.952,176.834,202.098,200.97,112.398
2006-12-14 21:10:00,171.984,54.587,214.333,146.817,1329.16,418.674,,93.76,161.573,305.78,100.19,163.68,198.028,177.286,200.984,198.28,112.988
