DATETIME,ESOI,ATHN,MXCO,NANM,CALM,ROME,AATB,BKSN,JUNG,JUNG1,LMKS,IRK2,IRK3,IRKT,MCRL,MOSC,NEWK,KIEL,KIEL2,MGDN,YKTK,KERG,OULU,APTY,NRLK,TXBY,FSMT,INVK,NAIN,PWNK,THUL,SOPB,SOPO,MRNY,TERA
2012-07-14 17:40:00,95.04062666666674,57.177,225.467,488.611,72.359,151.433,1401.86,105.11,157.367,367.855,453.462,459.698,411.2,207.4,52.002,260.57,95.178,166.373,175.048,174.886,209.973,215.662,105.614,169.962,122.8,96.107,210.436,187.064,208.634,210.618,118.478,143.24,293.368,109.092,112.574
2012-07-14 17:45:00,95.49522041666667,58.743,226.2,490.744,71.307,153.15,1397.04,105.854,156.428,365.129,448.626,458.788,409.2,206.8,51.228,260.68,95.078,165.443,174.292,173.352,207.76,218.271,104.349,168.848,121.2,95.52,211.084,185.704,209.694,211.532,118.414,142.474,294.473,107.514,113.335
2012-07-14 17:50:00,95.25521625000003,57.167,223.467,487.358,73.197,152.197,1397.86,105.98,156.465,369.841,451.333,459.094,413.6,207.2,50.842,259.128,95.884,166.467,175.71,174.898,209.28,219.898,104.421,171.308,121.4,95.413,210.414,186.868,211.418,212.532,119.296,142.252,292.932,109.28,113.635
2012-07-14 17:55:00,95.13450916666662,57.843,225.667,480.788,69.29,151.3,1400.8,106.198,157.799,369.484,452.803,459.796,410.8,204.4,51.034,258.288,93.232,166.583,176.146,172.578,211.04,219.419,104.281,170.012,120.8,94.56,211.85,186.294,210.154,211.716,118.046,142.228,292.3,108.474,113.703
2012-07-14 18:00:00,94.5510108333333,57.807,229.1,483.001,70.374,151.3,1402.16,105.48,157.849,368.646,454.783,459.168,410.6,205.6,50.552,259.33,96.132,169.506,178.922,172.158,209.76,219.953,104.221,169.818,119.4,95.413,210.77,188.074,213.076,211.66,119.702,142.056,295.75,108.46,112.246
2012-07-14 18:05:00,95.24261375000009,57.39,223.6,478.917,72.028,151.727,1397.26,106.582,156.149,366.106,450.695,458.144,413.4,206.2,51.732,258.488,95.022,166.41,176.102,174.698,208.96,219.562,103.002,170.302,121.8,96.533,210.644,186.312,211.704,210.39,118.794,143.078,292.528,109.306,113.678
2012-07-14 18:10:00,94.95165499999999,58.25,224.9,484.452,70.328,150.7,1380.92,106.398,157.251,366.563,450.226,454.38,407.8,207.4,51.344,260.6,94.244,167.823,176.582,174.308,209.893,219.463,103.674,167.698,122.2,96.293,210.048,186.226,211.688,209.168,119.608,142.936,294.492,108.86,114.526
2012-07-14 18:15:00,94.8658870833334,56.027,221.733,481.02,70.427,153.313,1396.12,103.984,157.276,363.937,450.611,457.88,409.0,207.6,50.583,261.854,93.84,167.32,176.892,172.414,212.8,218.358,103.891,168.158,122.2,95.92,209.072,189.242,211.054,213.146,118.018,142.012,292.3,109.882,112.828
2012-07-14 18:20:00,95.1737766666667,56.993,227.667,484.625,72.029,150.44,1394.42,106.058,156.51,372.719,451.244,457.658,410.2,204.0,50.58,257.072,96.054,168.803,179.18,173.106,209.12,219.451,102.049,168.352,121.8,94.427,211.094,188.058,209.196,207.046,117.952,143.344,292.626,109.328,113.045
2012-07-14 18:25:00,94.95337375000008,58.4,225.567,486.514,72.99,152.497,1389.76,104.586,157.098,368.765,452.749,456.586,410.4,206.4,51.76,257.502,93.134,166.643,175.538,173.932,208.88,219.091,103.451,168.824,122.8,96.187,212.174,185.514,209.336,208.838,118.27,143.08,292.918,109.118,112.91
2012-07-14 18:30:00,95.36312166666681,57.56,224.633,489.135,70.91,150.637,1394.88,105.348,157.944,365.682,452.194,456.894,409.8,207.2,51.34,257.174,95.71,165.95,175.61,172.55,208.933,216.985,103.23,168.654,121.6,96.347,212.214,188.336,209.882,210.652,117.456,141.77,293.612,108.964,113.425
2012-07-14 18:35:00,95.42549208333347,57.513,226.333,488.563,70.747,149.18,1398.08,104.638,158.903,365.758,453.861,457.492,408.8,205.4,51.088,255.764,95.068,164.993,174.11,171.742,210.373,218.471,102.143,167.712,119.6,95.653,212.42,184.758,211.906,208.896,117.852,143.254,291.584,108.18,112.745
2012-07-14 18:40:00,94.62979083333319,56.9,224.833,484.43,69.673,152.057,1389.78,105.256,157.956,364.659,454.028,460.25,413.0,205.8,50.73,260.676,93.316,165.747,175.814,173.884,209.893,219.109,104.836,171.088,121.4,96.347,212.066,185.27,208.396,210.26,118.368,143.32,294.182,110.212,112.554
2012-07-14 18:45:00,95.62266583333336,57.96,226.667,488.014,70.235,152.01,1400.24,105.022,157.647,365.035,450.891,455.96,409.4,206.6,51.098,259.864,95.27,164.79,173.826,173.734,209.28,218.951,104.053,168.07,120.6,94.32,210.242,185.776,209.634,214.306,117.478,143.18,294.054,110.386,112.232
2012-07-14 18:50:00,95.00881041666669,57.963,224.0,481.139,71.465,150.773,1396.82,105.32,155.39,366.037,452.601,457.052,413.6,203.6,49.467,256.784,93.262,166.57,176.504,173.314,209.947,216.944,102.493,168.828,120.0,94.613,211.85,186.178,210.414,211.614,117.826,143.478,294.032,109.606,112.223
2012-07-14 18:55:00,95.0309766666667,57.613,226.833,486.769,69.473,151.03,1393.96,105.876,159.539,367.233,449.364,457.334,409.0,206.8,50.646,258.912,95.164,165.54,174.364,173.258,209.547,215.69,104.823,168.764,119.0,95.707,212.518,184.982,207.936,213.558,118.476,143.382,295.844,110.224,113.003
2012-07-14 19:00:00,94.71852875,57.607,226.833,484.77,71.868,151.7,1389.22,106.462,158.049,369.454,453.352,458.504,410.4,205.8,49.88,253.636,95.144,169.34,179.25,171.412,208.533,216.841,103.643,168.816,120.6,94.933,211.758,186.01,209.548,215.856,117.318,142.972,295.03,109.996,113.318
2012-07-14 19:05:00,94.86080666666663,57.84,224.966,483.512,71.341,152.433,1389.5,104.758,156.966,367.083,446.063,455.422,410.8,208.2,51.0,258.32,93.798,167.243,175.858,172.734,209.28,218.271,104.153,167.622,118.8,93.307,211.214,185.626,209.256,212.79,117.88,141.424,291.836,110.98,111.503
2012-07-14 19:10:00,94.80069291666678,57.777,224.3,478.867,72.211,154.05,1405.0,103.798,156.341,367.332,450.176,454.844,406.4,208.0,51.35,256.226,95.262,166.157,175.7,173.75,211.307,215.135,102.427,168.412,118.6,93.413,209.72,186.268,209.186,210.07,118.744,143.328,296.084,108.35,111.735
2012-07-14 19:15:00,94.8902225,58.643,228.233,480.133,71.466,151.277,1391.78,104.288,155.664,365.81,443.73,454.998,409.2,207.0,51.11,253.39,96.238,166.25,175.956,173.724,208.96,215.148,102.699,167.362,118.2,94.24,212.604,184.996,211.57,213.294,116.302,143.324,293.324,111.366,112.344
2012-07-14 19:20:00,95.22284916666675,57.277,226.767,481.652,72.298,148.293,1403.78,105.328,157.277,367.046,449.03,455.276,408.6,205.4,50.597,258.706,94.512,164.353,173.402,173.702,208.586,217.586,104.938,166.056,119.4,95.573,211.064,183.946,210.438,210.766,117.736,142.756,294.27,110.422,112.712
2012-07-14 19:25:00,94.65511000000001,57.543,225.2,474.027,71.448,151.203,1406.2,104.496,156.277,363.813,447.179,454.514,410.8,205.8,50.374,254.734,95.128,166.813,175.836,172.542,209.627,215.38,104.149,168.168,118.0,93.307,211.478,186.806,209.052,210.942,118.528,143.122,295.268,110.864,112.885
2012-07-14 19:30:00,95.03590208333333,58.347,223.567,482.289,72.524,151.687,1403.3,104.798,155.893,364.641,445.433,458.68,408.0,204.0,50.202,254.612,96.278,163.753,173.464,173.862,209.573,217.28,103.732,167.274,119.0,94.507,211.402,187.776,210.51,212.686,117.404,143.508,292.508,109.878,113.308
2012-07-14 19:35:00,95.44906708333342,57.423,224.567,484.522,69.68,151.437,1407.58,107.088,155.658,367.186,447.582,457.18,409.6,208.0,51.028,258.194,95.234,166.62,175.608,174.196,207.84,216.9,101.779,167.92,119.6,94.533,211.308,185.948,211.574,213.138,118.424,143.014,296.404,110.298,111.93
2012-07-14 19:40:00,95.03679083333338,57.923,221.933,483.831,72.758,150.837,1399.0,105.692,157.653,365.767,446.474,459.136,410.6,206.8,49.852,254.64,95.654,167.32,176.186,174.758,208.453,216.871,104.491,166.234,119.4,93.867,212.834,187.108,210.508,213.008,120.686,143.734,294.318,109.588,112.034
2012-07-14 19:45:00,95.05177708333348,57.507,223.467,484.576,70.243,150.587,1398.34,104.564,156.552,362.138,449.492,455.31,408.0,207.0,50.084,256.578,95.514,165.203,174.154,173.39,209.733,214.317,103.242,169.924,120.8,94.88,211.528,185.78,210.072,211.546,117.906,142.832,293.344,111.546,112.222
2012-07-14 19:50:00,94.63390750000012,56.217,223.4,478.369,71.84,150.763,1402.98,104.432,154.842,366.897,448.934,457.596,407.2,205.4,50.542,253.182,92.57,166.713,176.312,174.472,208.987,217.644,103.718,168.024,118.2,95.013,213.544,185.9,212.528,213.01,117.982,144.462,293.944,110.248,112.784
2012-07-14 19:55:00,94.90533749999994,57.337,223.133,483.456,69.999,148.58,1394.8,105.944,155.837,366.775,446.014,458.812,408.6,206.2,51.016,261.2,95.106,171.913,182.404,173.892,209.467,217.803,103.975,164.992,120.6,94.027,210.848,186.708,210.076,212.332,118.594,142.307,293.408,109.908,114.017
2012-07-14 20:00:00,94.36155208333332,56.443,226.4,479.742,70.308,151.427,1392.52,104.162,156.432,366.241,449.274,458.256,409.8,205.8,50.977,253.952,94.42,166.9,175.742,174.618,208.294,216.389,102.931,167.572,118.0,94.107,211.944,185.346,213.246,212.012,117.704,143.6,295.366,108.822,113.629
